"","comid","metric","p10","p25","p50","p75","p90","source","result_type"
"36352",2823750,"Peak_Dur_2",1,1,3,8,18.8,"inferred","predicted"
"107072",2823750,"Peak_Dur_5",1,1.25,2.5,3,5.7,"inferred","predicted"
"177792",2823750,"Peak_Fre_2",1,1,2,3,5,"inferred","predicted"
"248512",2823750,"Peak_Fre_5",1,1,1,2,3,"inferred","predicted"
"299764",2823750,"Peak_10",23839.8673639134,26016.4199440326,29343.8183594279,45242.3535564778,53786.0675074063,"model","predicted"
"440010",2823750,"Peak_2",8181.7389388504,10224.6905942169,13443.5364324463,18173.0831339806,23134.4389557787,"model","predicted"
"580256",2823750,"Peak_5",14541.835168517,18783.7808937166,22512.1288965749,26406.2599185715,34156.2563790037,"model","predicted"
"1688410",2823750,"DS_Dur_WS",108.4825,131.0875,160.6,187.235416666666,214.91,"model","predicted"
"15713010",2823750,"DS_Mag_50",190.902959436661,324.666924156315,528.011741684125,688.431741888876,862.600322296292,"model","predicted"
"2973761",2823750,"DS_Mag_90",383.259902447542,580.710948955719,902.716545387821,1277.00364979796,1678.39970310884,"model","predicted"
"4376221",2823750,"DS_Tim",283.196666666666,291.75,302,315.397916666666,333.6175,"model","predicted"
"5973361",2823750,"FA_Dur",2,2,3,4.5,6.5,"obs","predicted"
"6485881",2823750,"FA_Mag",425.696018449553,666.027498230796,1092.91637447955,1837.57427945952,3148.50396143597,"model","predicted"
"788834",2823750,"FA_Tim",6.53666666666667,15.325,27.475,42.4,51,"model","predicted"
"1369286",2823750,"Peak_Dur_10",1,1,1,3,3.6,"obs","predicted"
"1581446",2823750,"Peak_Fre_10",1,1,1,1,1,"obs","predicted"
"1774138",2823750,"SP_Dur",44.66,53.35625,64,78.56875,100.695833333333,"model","predicted"
"1914384",2823750,"SP_Mag",5381.85244085823,7048.02738925879,9277.57014888814,13413.2896963327,21034.5294827609,"model","predicted"
"2074098",2823750,"SP_ROC",0.0112125536495315,0.0138458831808586,0.0423051409618574,0.0567460317460317,0.0614253234964019,"obs","predicted"
"2125350",2823750,"SP_Tim",211.6525,227.2,238.95,246,254.455,"model","predicted"
"2265596",2823750,"Wet_BFL_Dur",71.3975,95.15,127.395833333333,158.5,185.275,"model","predicted"
"2405842",2823750,"Wet_BFL_Mag_10",651.526634048549,876.989843090423,1100.41877324007,1427.41265043124,1755.01530829008,"model","predicted"
"2546088",2823750,"Wet_BFL_Mag_50",1808.86811566207,2405.29150057477,3131.88147579668,4035.93226699608,5113.44453980462,"model","predicted"
"2686334",2823750,"Wet_Tim",48.375,75.5,94.7083333333333,114.5,136.570833333333,"model","predicted"
